feature1,feature2,spearman_r,abs_r
Shimmer:APQ3,Shimmer:DDA,0.9999979769743264,0.9999979769743264
MDVP:RAP,Jitter:DDP,0.9999801739954417,0.9999801739954417
MDVP:Shimmer,MDVP:Shimmer(dB),0.9931854381114948,0.9931854381114948
MDVP:Shimmer,Shimmer:APQ3,0.9889020700450168,0.9889020700450168
MDVP:Shimmer,Shimmer:DDA,0.9888685102893855,0.9888685102893855
MDVP:Shimmer,Shimmer:APQ5,0.9870247258094624,0.9870247258094624
spread1,PPE,0.9787599734580589,0.9787599734580589
Shimmer:APQ3,Shimmer:APQ5,0.9782702546566852,0.9782702546566852
Shimmer:APQ5,Shimmer:DDA,0.9782613973105114,0.9782613973105114
MDVP:Shimmer(dB),Shimmer:APQ5,0.9763812920922493,0.9763812920922493
MDVP:Shimmer(dB),Shimmer:APQ3,0.9757067463415393,0.9757067463415393
MDVP:Shimmer(dB),Shimmer:DDA,0.9756578368892901,0.9756578368892901
MDVP:Shimmer,MDVP:APQ,0.9723290716301153,0.9723290716301153
MDVP:Jitter(%),MDVP:PPQ,0.9708697874213453,0.9708697874213453
MDVP:Shimmer(dB),MDVP:APQ,0.9683221306087246,0.9683221306087246
MDVP:RAP,MDVP:PPQ,0.9664330792329808,0.9664330792329808
MDVP:PPQ,Jitter:DDP,0.9664110864382625,0.9664110864382625
MDVP:Jitter(%),Jitter:DDP,0.9620338132779083,0.9620338132779083
MDVP:Jitter(%),MDVP:RAP,0.9619586109139358,0.9619586109139358
Shimmer:APQ5,MDVP:APQ,0.9589949294935806,0.9589949294935806
Shimmer:APQ3,MDVP:APQ,0.9381621116868065,0.9381621116868065
MDVP:APQ,Shimmer:DDA,0.9380890033290877,0.9380890033290877
MDVP:Jitter(%),MDVP:Jitter(Abs),0.9193956439177015,0.9193956439177015
MDVP:Jitter(Abs),MDVP:PPQ,0.9098351036564141,0.9098351036564141
MDVP:Shimmer,HNR,-0.8664511746293077,0.8664511746293077
NHR,HNR,-0.8660217272632639,0.8660217272632639
MDVP:Shimmer(dB),HNR,-0.865360377793471,0.865360377793471
Shimmer:APQ5,HNR,-0.8649262771544943,0.8649262771544943
MDVP:Jitter(Abs),MDVP:RAP,0.8603604133229585,0.8603604133229585
MDVP:Jitter(Abs),Jitter:DDP,0.8603106332936059,0.8603106332936059
Shimmer:APQ3,HNR,-0.8582544792844523,0.8582544792844523
Shimmer:DDA,HNR,-0.8582219931291205,0.8582219931291205
MDVP:APQ,HNR,-0.8384983698539893,0.8384983698539893
MDVP:Jitter(Abs),spread1,0.8032480774838122,0.8032480774838122
MDVP:RAP,NHR,0.8006934297401841,0.8006934297401841
Jitter:DDP,NHR,0.8005670974281694,0.8005670974281694
MDVP:PPQ,PPE,0.8002971455585216,0.8002971455585216
MDVP:Jitter(Abs),PPE,0.8001762720592598,0.8001762720592598
MDVP:Shimmer(dB),NHR,0.7980278129379166,0.7980278129379166
MDVP:Jitter(%),NHR,0.796207357268998,0.796207357268998
MDVP:Fo(Hz),MDVP:Fhi(Hz),0.7955542248620304,0.7955542248620304
MDVP:PPQ,spread1,0.794375276519298,0.794375276519298
MDVP:PPQ,MDVP:Shimmer(dB),0.786130816347119,0.786130816347119
MDVP:PPQ,NHR,0.7843044750319504,0.7843044750319504
MDVP:APQ,NHR,0.7791574821255547,0.7791574821255547
MDVP:Jitter(%),spread1,0.7738358233365925,0.7738358233365925
MDVP:Jitter(%),PPE,0.7705512209116508,0.7705512209116508
MDVP:Shimmer,NHR,0.7700169489268048,0.7700169489268048
MDVP:RAP,MDVP:Shimmer(dB),0.766070664852403,0.766070664852403
Jitter:DDP,MDVP:Shimmer(dB),0.7656953659957144,0.7656953659957144
MDVP:PPQ,HNR,-0.7656172303433026,0.7656172303433026
MDVP:PPQ,MDVP:APQ,0.7625383824758173,0.7625383824758173
MDVP:PPQ,MDVP:Shimmer,0.7615526541262911,0.7615526541262911
MDVP:Jitter(%),MDVP:Shimmer(dB),0.7590063490764476,0.7590063490764476
MDVP:RAP,HNR,-0.7541430408751092,0.7541430408751092
Jitter:DDP,HNR,-0.7540147996794245,0.7540147996794245
MDVP:PPQ,Shimmer:APQ5,0.7515580550554494,0.7515580550554494
Shimmer:APQ5,NHR,0.740398309721533,0.740398309721533
MDVP:RAP,MDVP:Shimmer,0.7398169606075221,0.7398169606075221
Jitter:DDP,MDVP:Shimmer,0.739418725851033,0.739418725851033
MDVP:Jitter(%),HNR,-0.7316741195809109,0.7316741195809109
MDVP:Jitter(%),MDVP:APQ,0.7311830828692856,0.7311830828692856
MDVP:Jitter(%),MDVP:Shimmer,0.7291587178220138,0.7291587178220138
MDVP:PPQ,Shimmer:APQ3,0.728991958810142,0.728991958810142
MDVP:PPQ,Shimmer:DDA,0.728946786076164,0.728946786076164
Shimmer:APQ3,NHR,0.7279921538766522,0.7279921538766522
Shimmer:DDA,NHR,0.7278777962287364,0.7278777962287364
MDVP:RAP,Shimmer:APQ5,0.7256591982354363,0.7256591982354363
Jitter:DDP,Shimmer:APQ5,0.7252822838653656,0.7252822838653656
